Latitude,Longitude,Sample_ID,Sample_Material_Eng,Sample_Material,Measuring_Institution..Eng.,Measuring_Institution,Pretreatment_Institution_Eng,Pretreatment_Institution_.only.if.different.from.AMS.Lab.,Measurement_Date,R_Combine_Note,Mismatch_Flag,BP,error,Period_New,Site_Code_Eng,Site_Code,Site_OG_Eng,Site_OG,Feature,FeatureType_Eng,Feature_Type,Excavating_Institution_Eng,Excavating_Institution,Year,Sub_Region,Total_Houses,median
37.237,126.951,MRR2015-22,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2015-08-21(보고),R_Combined,,2747,14,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,50호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2819
37.237,126.951,PLD-28905,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),"R_Combine not possible, review needed",,2755,20,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,3호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2831
37.237,126.951,PLD-28909,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),,,2915,25,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,40호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,3055
37.737,127.419,Beta-471282,Charcoal (wood charcoal),목탄,Beta Analytic,Beta Analytic Radiocarbon Dating Laboratory,,,,,,1780,30,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 709-5 Site,가평 청평리 709-5번지 유적,원삼국 1호 주거지,Dwelling,주거지,Seoul Institute of Cultural Heritage,서울문화유산연구원,2019,North Han River Basin,20,1656
37.737,127.419,KCL17-084,Charcoal (wood charcoal),목탄,Kongju National University,국립공주대학교,,,,,,1657,12,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 714-4 Site,가평 청평리 714-4번지 유적,주거지 1호 부뚜막 출토 토기,Dwelling,주거지,Korea Heritage Agency,한국문화재재단,2019,North Han River Basin,20,1539
37.737,127.419,KCL17-088,Charcoal (wood charcoal),목탄,Kongju National University,국립공주대학교,,,,,,1761,25,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 714-4 Site,가평 청평리 714-4번지 유적,주거지 2호 상부 탄화목재,Dwelling,주거지,Korea Heritage Agency,한국문화재재단,2019,North Han River Basin,20,1649
37.737,127.419,KCL17-090,Charcoal (wood charcoal),목탄,Kongju National University,국립공주대학교,,,,,,1865,24,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 714-4 Site,가평 청평리 714-4번지 유적,주거지 4호 부뚜막내부,Dwelling,주거지,Korea Heritage Agency,한국문화재재단,2019,North Han River Basin,20,1774
37.737,127.419,KISTAMS 1800174,Not specified,,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,,,,1708,26,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 721-5 and 1 Other Lot Site,가평 청평리 721-5번지 외 1필지 유적,1호 주거지,Dwelling,주거지,Korea Heritage Agency,한국문화재재단,2019,North Han River Basin,20,1593
37.737,127.419,KISTAMS 1800175,Not specified,,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,,,,1784,26,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 721-5 and 1 Other Lot Site,가평 청평리 721-5번지 외 1필지 유적,2호 주거지,Dwelling,주거지,Korea Heritage Agency,한국문화재재단,2019,North Han River Basin,20,1657
37.789,127.368,SNU07-017,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/11/30,,,1600,60,ProtoThree,Gapyeong Hangsa-ri,가평 항사리,"Hangsa-ri, Gapyeong",가평 항사리 유적,가-4호,Dwelling,주거지,Korea Institute of Heritage,고려문화재연구원,2010,North Han River Basin,43,1473
37.789,127.368,SNU07-020,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/11/30,,,1600,60,ProtoThree,Gapyeong Hangsa-ri,가평 항사리,"Hangsa-ri, Gapyeong",가평 항사리 유적,가-10호,Dwelling,주거지,Korea Institute of Heritage,고려문화재연구원,2010,North Han River Basin,43,1473
37.789,127.368,SNU07-016,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/11/30,,,1620,60,ProtoThree,Gapyeong Hangsa-ri,가평 항사리,"Hangsa-ri, Gapyeong",가평 항사리 유적,가-2호,Dwelling,주거지,Korea Institute of Heritage,고려문화재연구원,2010,North Han River Basin,43,1489
37.789,127.368,SNU07-019,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/11/30,,,1620,60,ProtoThree,Gapyeong Hangsa-ri,가평 항사리,"Hangsa-ri, Gapyeong",가평 항사리 유적,가-9호,Dwelling,주거지,Korea Institute of Heritage,고려문화재연구원,2010,North Han River Basin,43,1489
37.789,127.368,SNU07-018,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/11/30,,,1690,60,ProtoThree,Gapyeong Hangsa-ri,가평 항사리,"Hangsa-ri, Gapyeong",가평 항사리 유적,가-8호,Dwelling,주거지,Korea Institute of Heritage,고려문화재연구원,2010,North Han River Basin,43,1582
